Rank,City,Country,2021,2020,2019,2018
1,Bhiwadi, India,106.2,95.5,83.4,125.4
2,Ghaziabad, India,102,106.6,110.2,135.2
3,Hotan, China,101.5,110.2,110.1,116
4,Delhi, India,96.4,84.1,98.6,113.5
5,Faisalabad, Pakistan,94.2,73.2,104.6,130.4
6,Noida, India,91.4,94.3,97.7,123.6
7,Faridabad, India,88.9,83.3,85,129.1
8,Rohtak, India,86.9,74.4,59.7,81.6
9,Lahore, Pakistan,86.5,79.2,89.5,114.9
10,Lucknow, India,86,86.2,90.3,115.7
11,Jind, India,84.1,81.6,85.4,91.6
12,Gurugram, India,83.4,75.3,93.1,135.8
13,Kashgar, China,83.2,81,87.1,95.7
14,Kanpur, India,83.2,89.1,48.5,88.2
15,Muzaffarpur, India,82.9,74.3,81.2,110.3
16,Patna, India,78.2,68.4,82.1,119.7
17,Dhaka, Bangladesh,78.1,77.1,83.3,97.1
18,Agra, India,73.4,80.2,57.2,104.8
19,Ludhiana, India,71.8,45.2,49.3,55.1
20,Jodhpur, India,67.8,67.1,77.2,113.4
21,Singrauli, India,67.3,70.8,59.1,86.8
22,Asansol, India,59.7,55.3,50.9,64.4
23,Kolkata, India,59,46.6,59.8,85.4
24,Jalandhar, India,58.3,52.2,41,56.4
25,Howrah, India,58,53.7,55.9,64.2
26,Kota, India,57,42.1,49.1,52.7
27,Jaipur, India,56.6,43.8,50.5,67.6
28,Pali, India,55.9,46.4,54.6,82.3
29,Shihezi, China,55.7,57.5,63.3,61.3
30,Linfen, China,55.5,52.5,61.7,68.2
31,Ahmedabad, India,55.1,49,59,76.1
32,Amritsar, India,55,47.1,47.2,60.6
33,Patiala, India,54,41.1,35.2,44.1
34,Puyang, China,52.8,59.3,63.4,63.5
35,Lampang, Thailand,52.2,31.6,33.1,23.3
36,Hebi, China,51.4,58.9,62.1,55.8
37,Aksu, China,51.2,58.4,54,74.1
38,Kathmandu, Nepal,50.9,39.2,48,54.4
39,Anyang, China,50.8,61.5,70.3,72.9
40,Xiangyang, China,50.6,52.5,60.4,60.5
41,Manama, Bahrain,49.8,39.7,46.8,59.8
42,Changji, China,49.8,53.5,48.2,55
43,Krasnoyarsk, Russia,49.8,14.7,17.7,23.1
44,Luohe, China,49.7,55.4,60,62.6
45,Khanna, India,49.7,42.6,36.1,41.6
46,Turpan, China,49.6,49.5,56.3,56.1
47,Zibo, China,49.2,53.9,57.7,55.9
48,Heze, China,48.5,54.2,59.7,60.1
49,Yuncheng, China,48.4,57.7,61.2,59.8
50,Panchkula, India,48.3,42.8,45.9,56.2
51,Jining, China,48.1,53.4,56.6,50.1
52,Pithampur, India,48.1,40.1,39.5,46.2
53,Kaifeng, China,47.8,55.5,61,64.6
54,Xuzhou, China,47.8,49.7,57.4,65.5
55,Liaocheng, China,47.6,53.9,58.8,60.3
56,Chandrapur, India,47.5,32.2,35.1,41.4
57,Xinxiang, China,47.3,51.5,55.7,61.4
58,Jiaozuo, China,47.1,56.2,61.3,66.9
59,Nanyang, China,47.1,51.4,60,60.6
60,Pingdingshan, China,47.1,51.2,60.1,65.1
61,Pai, Thailand,47.1,53,38.9,29.4
62,Wuhan, China,46.7,36.5,44.4,46.9
63,Gaya, India,46.6,46.3,59.4,96.6
64,Shijiazhuang, China,46.5,57.6,64,76.7
65,Mumbai, India,46.4,41.3,45.3,58.6
66,Taiyuan, China,46.3,52.1,53.4,55.9
67,Yangquan, China,45.9,46.3,50.6,59
68,Karachi, Pakistan,45.9,43.8,40.2,33.7
69,Shangqiu, China,45.8,52.7,72.6,61.9
70,Xianyang, China,45.7,50.5,63.7,67.8
71,Handan, China,45.6,58.9,64.3,74
72,Jingmen, China,45.6,45.3,56.4,56.2
73,Baoding, China,45.4,52.2,57.7,70.7
74,Urumqi, China,45.4,51.2,54.5,59.2
75,Weinan, China,45.3,52.5,55.6,58.2
76,Xuchang, China,45.1,53.6,60.6,64.2
77,Luoyang, China,44.9,50.7,62.4,59.9
78,Xinzhou, China,44.9,44.4,41.7,51.4
79,Zhoukou, China,44.8,50.3,56.6,58.9
80,Zaozhuang, China,44.8,54.8,59.6,57.6
81,Fuyang, China,44.7,50.4,51.9,54.4
82,Linyi, China,44.7,48.4,57.7,50.2
83,Ujjain, India,44.6,44.6,43.4,54
84,Zigong, China,44.4,45.1,47.5,56.8
85,Visakhapatnam, India,44.3,40.3,44,52.8
86,Dezhou, China,44.1,50.1,53.4,54.8
87,Taian, China,44.1,51.2,57.6,51.7
88,Xingtai, China,44,55.9,63.5,76.7
89,Shouguang, China,43.9,49.7,57.2,52.6
90,Kizilsu, China,43.9,52,48.6,60
91,Ajmer, India,43.7,39.8,48.1,54
92,Zhengzhou, China,43.4,50.9,58.4,64.1
93,Yibin, China,43.3,38.8,45.9,49.3
94,Tangshan, China,43.2,46.8,52.6,63.5
95,Changsha, China,43,41,46.8,45.8
96,Talcher, India,43,42.6,38.4,58
97,Zhumadian, China,42.9,45.9,52.1,60.4
98,Alwar, India,42.9,41.1,46.4,52.8
99,Tashkent, Uzbekistan,42.8,29.9,41.2,34.3
100,Sanmenxia, China,42.7,47.5,56.1,57.5
101,Hengshui, China,42.6,52.4,56,65.7
102,Binzhou, China,42.6,49,53.6,55.8
103,Zhangqiu, China,42.4,49.1,50.1,49.2
104,Siliguri, India,42.4,58.2,39.6,44.5
105,Xiangtan, China,42.3,38.2,46.8,46.6
106,Huaibei, China,42.2,49.8,55.1,58.2
107,Huainan, China,42.2,47.4,52.5,54.8
108,Pune, India,42.2,39.7,35.7,46.3
109,Cangzhou, China,42.1,52,53,65.2
110,Korla, China,42.1,44.7,47.1,46.3
111,Suzhou, China,42,47,52.6,57.6
112,Jinan, China,42,49,54.4,52.9
113,Wujiaqu, China,41.7,40.6,53.9,67.8
114,Jinzhou, China,41.6,46.9,45.3,44.4
115,Esfahan, Iran,41.6,33.4,32.5,27.6
116,Xian, China,41.1,49.3,56.6,59.9
117,Islamabad, Pakistan,41.1,39,35.2,38.6
118,Nashik, India,40.7,32.8,39.3,39.8
119,Chengdu, China,40.3,40.5,42.4,48.8
120,Wuwei, China,40.2,37.6,33.1,42.2
121,Weifang, China,40.2,49.9,56.2,52.6
122,Langfang, China,40.1,43.3,47.1,55.8
123,Yichang, China,40,40.8,52.5,52.1
124,Changde, China,40,40.7,47.5,42.3
125,Tianjin, China,39.9,48.9,51.3,52.3
126,Fushun, China,39.7,43.3,43,41.2
127,Bozhou, China,39.5,48.3,54,57.5
128,Hyderabad, India,39.4,34.7,39,44.2
129,Bengbu, China,39.3,44.5,51.3,52.8
130,Suqian, China,39.2,45.9,47.9,53.1
131,Changzhi, China,39.2,45.5,47.5,53.2
132,Jakarta, Indonesia,39.2,39.6,49.4,45.3
133,Xinyang, China,39.1,40.7,47.8,53.8
134,Jinzhong, China,39.1,43,45.5,53.5
135,Zhuzhou, China,39,36.7,46.3,42.3
136,Dewas, India,38.9,39.2,38.5,48.2
137,Leshan, China,38.6,35.8,42,45.7
138,Dongying, China,38.4,45.7,48.6,47.4
139,Luzhou, China,38.3,37.3,40.8,37
140,Baoji, China,38,43.8,49.8,49.9
141,Huaian, China,37.7,41.1,43.8,49.8
142,Zhenjiang, China,37.7,37.7,45,53.2
143,Laixi, China,37.7,41.5,47.8,39.8
144,Deyang, China,37.7,37.1,39.9,41.1
145,Kabul, Afghanistan,37.5,46.5,58.8,61.8
146,Ezhou, China,37.4,37.8,42.5,44.9
147,Pingdu, China,37.4,39.5,46.3,37.6
148,Dazhou, China,37.4,37.6,45.3,44.7
149,Jiujiang, China,37.3,41.8,53.4,46.5
150,Padre las Casas, Chile,37.2,28.6,32.5,43.3
151,Isfahan, Iran,37.2,31.4,26.4,23.8
152,Lanzhou, China,37.1,33,35.7,45.9
153,Zhongwei, China,37.1,33.3,31.5,36.9
154,Nanchong, China,37.1,36.6,42.3,45.3
155,Lukavac, Bosnia Herzegovina,37,37.7,39.9,55.6
156,Shenyang, China,37,40.8,41.6,39.3
157,Suizhou, China,36.9,37,41.9,44
158,Shaoyang, China,36.9,37.3,42.1,44
159,Dubai, United Arab Emirates,36.9,32.6,40.9,55.3
160,Huludao, China,36.8,41.7,45.5,41
161,Liaoyang, China,36.6,40.5,40.3,37.6
162,Ceglie Messapica, Italy,36.6,31.7,30.7,16.2
163,Wuzhong, China,36.5,33.9,31.1,37.9
164,Anshan, China,36.2,40.7,39.2,34.9
165,Hanoi, Vietnam,36.2,37.9,46.9,40.8
166,Coyhaique, Chile,36.1,33.3,41.5,34.2
167,Qinhuangdao, China,36,37.4,43.6,43.9
168,Changzhou, China,36,38.7,44.7,50.3
169,Hengyang, China,35.9,35.3,42.1,41.3
170,Neijiang, China,35.9,34.1,35.2,36.8
171,Mianyang, China,35.8,34.2,37.8,45.3
172,Yueyang, China,35.7,36.6,42.6,43.4
173,Shizuishan, China,35.7,36.1,34.5,40.4
174,Jincheng, China,35.7,46.2,54.1,59.8
175,Ili, China,35.7,43.6,41.5,47.1
176,Baotou, China,35.1,41.4,36.1,36.8
177,Karaj, Iran,35.1,26.8,23,22.2
178,Jingzhou, China,35,36.1,45.3,47.7
179,Yingkou, China,35,40.2,41.2,38.4
180,Shuozhou, China,35,38.6,38.8,41.8
181,Laizhou, China,34.9,39.1,40.2,32.4
182,Loudi, China,34.8,32.1,38.2,30.6
183,Jimo, China,34.8,38.6,44,32.8
184,Maanshan, China,34.6,35.8,42.3,43.8
185,Jurong, China,34.6,37.3,43.8,50.7
186,Beijing, China,34.4,37.5,42.1,50.9
187,Yiyang, China,34.4,40,49.8,33.3
188,Jiaozhou, China,34.3,38.5,49.2,41.9
189,Yangzhou, China,34.2,35.6,43,48.2
190,Tongling, China,34.1,34.9,47.3,47.1
191,Wuhu, China,34,35.9,44.4,48.8
192,Xingbin Qu, China,34,30.4,35.2,39.5
193,Taizhou, China,34,36.7,45,47.9
194,Tongchuan, China,34,38.6,44.6,46.3
195,Xiaogan, China,33.9,35.9,43.9,43.9
196,Jiangyin, China,33.9,36.8,41.8,48.8
197,Chuzhou, China,33.8,39.3,48.4,49.7
198,Tieling, China,33.8,38.4,40,38.2
199,Andimeshk, Iran,33.8,34.4,32.1,39.2
200,Ulaanbaatar, Mongolia,33.8,46.6,62,58.5
201,Abu Dhabi, United Arab Emirates,33.8,23.9,38.4,48.8
202,Harbin, China,33.7,43.6,39.1,36.4
203,Coronel, Chile,33.3,20.7,11.8,19
204,Tuzla, Bosnia Herzegovina,33.2,32.1,35.3,43.1
205,Panjin, China,33.1,34,38.7,36.1
206,Huanggang, China,33,35.8,41,40.8
207,Huangshi, China,33,35,40.6,41.7
208,Meishan, China,33,31.4,35.2,36.2
209,Yongzhou, China,32.9,32.9,38.4,46.1
210,Liyang, China,32.8,35.6,41.2,43
211,Temuco, Chile,32.7,20.6,20.2,30.4
212,Anqing, China,32.7,34.9,45.5,45.4
213,Suihua, China,32.7,39.1,37.1,35.4
214,Rizhao, China,32.7,37.5,46.2,41.6
215,Hefei, China,32.6,36,43.8,47.2
216,Luan, China,32.6,37,41.9,44.9
217,Liaoyuan, China,32.6,38.9,37.6,35.6
218,Lvliang, China,32.6,36,40.1,50.7
219,Fuxin, China,32.5,35.1,36.3,36.2
220,Lianyungang, China,32.2,36.1,42.1,43.4
221,Xining, China,32.2,33,33.3,41.7
222,Pingxiang, China,32.1,30.6,36.9,40.7
223,Baiyin, China,31.8,28.7,31.1,37.7
224,Chaoyang, China,31.8,35.6,36,38.2
225,Zhangye, China,31.7,34.3,31.8,36.9
226,Tehran, Iran,31.7,29,25.9,26.1
227,Lima, Peru,31.5,18,23.7,28
228,Liuzhou, China,31.3,28.9,34.4,39.4
229,Changchun, China,31.2,40.4,36.7,32.2
230,Jiujiang, China,31.1,36.6,43.9,40.2
231,Yulin, China,31.1,32.7,33,35.2
232,Chongqing, China,31,31.7,37.1,37.3
233,Jiuquan, China,31,30.1,27.6,33.3
234,Jinchang, China,31,21.2,20.8,25.2
235,Mashhad, Iran,31,25.6,25.1,30.6
236,Hohhot, China,30.8,39.4,36.4,35.3
237,Xinyu, China,30.8,29.9,35.1,37.7
238,Linxia, China,30.7,29,30.8,45.8
239,Nanchang, China,30.7,32.5,34.9,28.4
240,Chizhou, China,30.6,33.6,42.4,43.7
241,Nantong, China,30.6,33.5,37.7,40.5
242,Datong, China,30.6,31.2,32.3,36.6
243,Zhangjiagang, China,30.5,34.5,40,39.2
244,Panzhihua, China,30.5,28.8,29.1,33.1
245,Chongzuo, China,30.4,25.6,29.1,30.8
246,Wuhai, China,30.4,33.7,31.3,40.5
247,Yichun, China,30.4,30.8,35.7,38.7
248,Xuancheng, China,30.2,32.7,41.7,43.2
249,Changzhou Qu, China,30.1,30.5,33.4,40.9
250,Suining, China,30,28.4,31,35.3
251,Guigang, China,29.9,28.5,33.9,38.7
252,Yinchuan, China,29.9,34.5,31,39.3
253,Wuxi, China,29.8,34,39.9,42.8
254,Sarajevo, Bosnia Herzegovina,29.7,42.5,34.1,38.4
255,Qingdao, China,29.7,31.8,39.4,34.3
256,Kuwait City, Kuwait,29.7,34,38.3,56
257,Amaravati, India,29.5,28.9,33,35.6
258,Baise, China,29.4,27.4,29.3,35.7
259,Chengde, China,29.4,28.6,30,39.6
260,Jiaonan, China,29.4,34.1,39.5,33.6
261,Jiayuguan, China,29.3,29.5,26.5,28.1
262,Yulin, China,29.3,27.6,32.6,35.6
263,Jilin, China,29.2,35.9,34.4,32.4
264,Lincang, China,29.1,25.8,31.4,27.4
265,Nanjing, China,29,31.1,40.5,43
266,Bengaluru, India,29,27.5,32.6,34.5
267,Yancheng, China,28.9,32.5,40.5,43.2
268,Yixing, China,28.8,31.3,38.4,42.7
269,Benxi, China,28.8,33.8,35.1,31.6
270,Tirupati, India,28.8,24.4,26.4,31.3
271,Yanan, China,28.7,29.5,31.3,35
272,Guilin, China,28.6,28.3,32.9,36.4
273,Suzhou, China,28.6,32.3,37.7,40.3
274,Mudanjiang, China,28.4,29.6,31.7,28.6
275,Kunshan, China,28.4,31.4,34.5,36.1
276,Shiyan, China,28.3,30.5,36.5,40.2
277,Ya'an, China,28.3,26.6,32.3,40.7
