Rank,Country/Region,2021,2020,2019,2018,Population
1,Bangladesh,76.9,77.1,83.3,97.1,"164,689,383"
2,Pakistan,66.8,59,65.8,74.3,"220,892,331"
3,India,58.1,51.9,58.1,72.5,"1,380,004,385"
4,Bahrain,49.8,39.7,46.8,59.8,"1,701,583"
5,Nepal,46,39.2,44.5,54.1,"29,136,808"
6,Uzbekistan,42.8,29.9,41.2,34.3,"33,469,199"
7,Afghanistan,37.5,46.5,58.8,61.8,"38,928,341"
8,United Arab Emirates,36,29.2,38.9,49.9,"9,890,400"
9,Indonesia,34.3,40.7,51.7,42,"273,523,621"
10,Mongolia,33.1,46.6,62,58.5,"3,278,292"
11,China,32.6,34.7,39.1,41.2,"1,439,323,774"
12,Kazakhstan,31.1,21.9,23.6,29.8,"18,776,707"
13,Iran,30.3,27.2,24.3,25,"83,992,953"
14,Kuwait,29.7,34,38.3,56,"4,270,563"
15,Peru,29.6,17.9,23.3,28,"32,971,846"
16,Bosnia Herzegovina,27.8,40.6,34.6,40,"3,280,815"
17,Uganda,27.6,26.1,29.1,40.8,"45,741,000"
18,Serbia,25.5,24.3,23.3,23.9,"8,737,370"
19,Croatia,25.4,21.2,19.1,22.2,"4,105,268"
20,North Macedonia,25.4,30.6,32.4,35.5,"2,083,380"
21,Vietnam,24.7,28,34.1,32.9,"97,338,583"
22,Ethiopia,23.9,14.7,20.1,27.1,"114,963,583"
23,Chile,21.7,19.3,22.6,24.9,"19,116,209"
24,Thailand,20.2,21.4,24.3,26.4,"69,799,978"
25,Turkey,20,18.7,20.6,21.9,"84,339,067"
26,Cambodia,19.8,21.1,21.1,20.1,"16,718,971"
27,Mexico,19.3,18.9,20,20.3,"128,932,753"
28,Poland,19.1,16.9,18.7,22.4,"37,846,605"
29,South Korea,19.1,19.5,24.8,24,"51,269,183"
30,Israel,18.7,16.9,20.8,18.6,"8,655,541"
31,Ukraine,18.5,19.2,16.6,14,"43,733,759"
32,Sri Lanka,17.4,22.4,25.2,32,"21,413,250"
33,Macao SAR,17,17.8,23.5,21.2,"649,342"
34,Bulgaria,16.3,27.5,25.5,25.8,"6,948,445"
35,Taiwan,16.2,15,17.2,18.5,"23,816,775"
36,Slovakia,16,15.3,16.1,18.5,"5,459,643"
37,Hong Kong SAR,15.9,15.4,20.3,20.2,"7,496,988"
38,Philippines,15.6,12.8,17.6,14.6,"109,581,085"
39,Hungary,15.5,14.3,14.6,16.8,"9,660,350"
40,Romania,15.3,15.8,18.3,18.6,"19,237,682"
41,Italy,15.2,18.5,17.1,14.9,"60,461,828"
42,Cyprus,14.8,15.8,19.7,17.6,"1,207,361"
43,Kosovo,14.7,20,23.5,30.4,"1,831,000"
44,Colombia,14.1,15.6,14.6,13.9,"50,882,884"
45,Czech Republic,13.9,12.3,14.4,20.2,"10,708,982"
46,Singapore,13.8,11.8,19,14.8,"5,850,343"
47,Brazil,13.6,14.2,15.8,16.3,"212,559,409"
48,Malta,13.5,11.8,9.4,11,"441,539"
49,Lithuania,13.2,11.7,14.5,17.5,"2,722,291"
50,Russia,12.3,9.3,9.9,11.4,"145,934,460"
51,Belgium,11.5,8.9,12.5,13.5,"11,589,616"
52,France,11.4,11.1,12.3,13.2,"65,273,512"
53,Austria,11.4,10.9,12.2,15,"9,006,400"
54,Netherlands,11.3,9.7,10.9,11.7,"17,134,873"
55,Switzerland,10.8,9,10.9,11.6,"8,654,618"
56,Spain,10.7,10.4,9.7,10.3,"46,754,783"
57,Germany,10.6,10.1,11,13,"83,783,945"
58,USA,10.3,9.6,9,9.1,"331,002,647"
59,Japan,9.1,9.8,11.4,12,"126,476,458"
60,Luxembourg,9,9,9.6,11.2,"625,976"
61,United Kingdom,8.8,8.3,10.5,10.8,"67,886,004"
62,Canada,8.5,7.3,7.7,7.9,"37,742,157"
63,Ireland,8,8.6,10.6,9.5,"4,937,796"
64,Norway,7.5,5.7,6.9,7.6,"5,421,242"
65,Portugal,7.1,9.1,9.3,9.4,"10,196,707"
66,New Zealand,6.8,7,7.5,7.7,"4,822,233"
67,Sweden,6.6,5,6.6,7.4,"10,099,270"
68,Iceland,6.1,7.2,5.5,5,"341,250"
69,Estonia,5.9,5.9,6.2,7.2,"1,326,539"
70,Australia,5.7,7.6,8,6.8,"25,499,881"
71,Finland,5.5,5,5.6,6.6,"5,540,718"
72,Puerto Rico,4.8,3.7,10.2,13.7,"2,860,840"
