Country ,2019 Life Expectancy,
Afghanistan,64.83,
Australia,82.90,
Austria,81.79,
Bahrain,77.29,
Bangladesh,72.59,
Belgium,81.75,
Bosnia Herzegovina,77.40,
Brazil,75.88,
Bulgaria,74.91,
Cambodia,69.82,
Canada,82.05,
Chile,80.18,
China,76.91,
Colombia,77.29,
Croatia,78.42,
Cyprus,80.98,
Czech Republic,79.13,
Estonia,78.50,
Ethiopia,66.60,
Finland,81.79,
France,82.58,
Germany,80.94,
Hong Kong,85.08,
Hungary,76.02,
Iceland,82.56,
India,69.66,
Indonesia,71.72,
Iran,76.68,
Ireland,82.30,
Israel,82.80,
Italy,83.20,
Japan,84.36,
Kazakhstan,73.18,
Kosovo,72.50,
Kuwait,75.49,
Lithuania,76.13,
Luxembourg,82.45,
Macao,84.24,
Malta,82.60,
Mexico,75.05,
Mongolia,69.87,
Nepal,70.78,
Netherlands,82.01,
New Zealand,81.71,
North Macedonia,75.80,
Norway,82.91,
Pakistan,67.27,
Peru,76.74,
Philippines,71.23,
Poland,77.86,
Portugal,80.68,
Puerto Rico,79.93,
Romania,75.46,
Russia,73.08,
Serbia,75.69,
Singapore,83.50,
Slovakia,77.47,
South Korea,83.23,
Spain,83.49,
Sri Lanka,76.98,
Sweden,82.96,
Switzerland,83.70,
Taiwan,80.36,
Thailand,77.15,
Turkey,77.69,
Uganda,63.37,
Ukraine,71.83,
United Arab Emirates,77.97,
United Kingdom,81.20,
United States,78.79,
Uzbekistan,71.72,
Vietnam,75.40,
,,
