Country,2019 Life Expectancy,2019,2020
Afghanistan,64.83,3.187,-0.472
Australia,82.9,2.729,1.493
Austria,81.79,0.918,3.418
Bahrain,77.29,3.205,1.05
Bangladesh,72.59,1.154,0.455
Belgium,81.75,0.901,3.592
Bosnia Herzegovina,77.4,0.031,2.269
Brazil,75.88,1.547,1.28
Bulgaria,74.91,1.241,2.595
Cambodia,69.82,1.996,2.514
Canada,82.05,1.705,2.675
Chile,80.18,-0.136,1.086
China,76.91,2.067,2.63
Colombia,77.29,1.064,1.371
Croatia,78.42,0.418,2.554
Cyprus,80.98,0.535,0.258
Czech Republic,79.13,1.273,3.702
Estonia,78.5,1.251,8.72
Ethiopia,66.6,0.842,1.108
Finland,81.79,-0.265,7.509
France,82.58,0.37,2.957
Germany,80.94,1.348,4.364
Hong Kong,85.08,3.059,4.16
Hungary,76.02,1.172,2.242
Iceland,82.56,1.402,1.399
India,69.66,0.216,0.258
Indonesia,71.72,1.139,1.478
Iran,76.68,3.403,1.034
Ireland,82.3,1.711,2.094
Israel,82.8,-0.116,-0.223
Italy,83.2,-0.472,2.189
Japan,84.36,1.335,2.842
Kazakhstan,73.18,3.605,6.237
Kosovo,72.5,#N/A,#N/A
Kuwait,75.49,2.161,1.391
Lithuania,76.13,1.844,8.158
Luxembourg,82.45,0.73,3.745
Macao,84.24,3.059,4.16
Malta,82.6,-1.04,0.686
Mexico,75.05,1.021,1.617
Mongolia,69.87,2.991,3.244
Nepal,70.78,0.481,-0.468
Netherlands,82.01,1.321,4.095
New Zealand,81.71,2.229,0.859
North Macedonia,75.8,-0.635,1.322
Norway,82.91,1.126,5.687
Pakistan,67.27,1.314,-0.847
Peru,76.74,0.804,1.193
Philippines,71.23,1.247,1.672
Poland,77.86,1.819,5.694
Portugal,80.68,0.17,1.036
Puerto Rico,79.93,0.496,1.385
Romania,75.46,1.288,2.985
Russia,73.08,2.964,6.067
Serbia,75.69,0.374,2.041
Singapore,83.5,2.531,2.043
Slovakia,77.47,1.091,2.63
South Korea,83.23,3.843,4.989
Spain,83.49,0.32,1.057
Sri Lanka,76.98,0.942,1.953
Sweden,82.96,0.976,7.439
Switzerland,83.7,0.336,3.479
Taiwan,80.36,2.359,3.104
Thailand,77.15,2.194,2.834
Turkey,77.69,1.383,1.012
Uganda,63.37,1.074,0
Ukraine,71.83,1.742,5.619
United Arab Emirates,77.97,1.744,-0.094
United Kingdom,81.2,0.917,2.755
United States,78.79,1.91,1.965
Uzbekistan,71.72,5.395,3.482
Vietnam,75.4,1.613,2.777
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
