Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2019,2019,?C,3.187,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7001,January,2020,2020,?C,-0.472,Fc,Calculated data
ET,Temperature change,3,Albania,7271,Temperature change,7001,January,2019,2019,?C,-0.965,Fc,Calculated data
ET,Temperature change,3,Albania,7271,Temperature change,7001,January,2020,2020,?C,1.157,Fc,Calculated data
ET,Temperature change,4,Algeria,7271,Temperature change,7001,January,2019,2019,?C,-0.955,Fc,Calculated data
ET,Temperature change,4,Algeria,7271,Temperature change,7001,January,2020,2020,?C,-0.033,Fc,Calculated data
ET,Temperature change,5,American Samoa,7271,Temperature change,7001,January,2019,2019,?C,1.311,Fc,Calculated data
ET,Temperature change,5,American Samoa,7271,Temperature change,7001,January,2020,2020,?C,1.011,Fc,Calculated data
ET,Temperature change,6,Andorra,7271,Temperature change,7001,January,2019,2019,?C,-0.398,Fc,Calculated data
ET,Temperature change,6,Andorra,7271,Temperature change,7001,January,2020,2020,?C,2.056,Fc,Calculated data
ET,Temperature change,7,Angola,7271,Temperature change,7001,January,2019,2019,?C,1.079,Fc,Calculated data
ET,Temperature change,7,Angola,7271,Temperature change,7001,January,2020,2020,?C,1.482,Fc,Calculated data
ET,Temperature change,258,Anguilla,7271,Temperature change,7001,January,2019,2019,?C,0.519,Fc,Calculated data
ET,Temperature change,258,Anguilla,7271,Temperature change,7001,January,2020,2020,?C,1.164,Fc,Calculated data
ET,Temperature change,30,Antarctica,7271,Temperature change,7001,January,2019,2019,?C,-0.47,Fc,Calculated data
ET,Temperature change,30,Antarctica,7271,Temperature change,7001,January,2020,2020,?C,-0.308,Fc,Calculated data
ET,Temperature change,8,Antigua and Barbuda,7271,Temperature change,7001,January,2019,2019,?C,0.384,Fc,Calculated data
ET,Temperature change,8,Antigua and Barbuda,7271,Temperature change,7001,January,2020,2020,?C,1.188,Fc,Calculated data
ET,Temperature change,9,Argentina,7271,Temperature change,7001,January,2019,2019,?C,0.297,Fc,Calculated data
ET,Temperature change,9,Argentina,7271,Temperature change,7001,January,2020,2020,?C,1.056,Fc,Calculated data
ET,Temperature change,1,Armenia,7271,Temperature change,7001,January,2019,2019,?C,2.825,Fc,Calculated data
ET,Temperature change,1,Armenia,7271,Temperature change,7001,January,2020,2020,?C,1.367,Fc,Calculated data
ET,Temperature change,22,Aruba,7271,Temperature change,7001,January,2019,2019,?C,0.767,Fc,Calculated data
ET,Temperature change,22,Aruba,7271,Temperature change,7001,January,2020,2020,?C,0.92,Fc,Calculated data
ET,Temperature change,10,Australia,7271,Temperature change,7001,January,2019,2019,?C,2.729,Fc,Calculated data
ET,Temperature change,10,Australia,7271,Temperature change,7001,January,2020,2020,?C,1.493,Fc,Calculated data
ET,Temperature change,11,Austria,7271,Temperature change,7001,January,2019,2019,?C,0.918,Fc,Calculated data
ET,Temperature change,11,Austria,7271,Temperature change,7001,January,2020,2020,?C,3.418,Fc,Calculated data
ET,Temperature change,52,Azerbaijan,7271,Temperature change,7001,January,2019,2019,?C,3.029,Fc,Calculated data
ET,Temperature change,52,Azerbaijan,7271,Temperature change,7001,January,2020,2020,?C,2.025,Fc,Calculated data
ET,Temperature change,12,Bahamas,7271,Temperature change,7001,January,2019,2019,?C,1.471,Fc,Calculated data
ET,Temperature change,12,Bahamas,7271,Temperature change,7001,January,2020,2020,?C,1.716,Fc,Calculated data
ET,Temperature change,13,Bahrain,7271,Temperature change,7001,January,2019,2019,?C,3.205,Fc,Calculated data
ET,Temperature change,13,Bahrain,7271,Temperature change,7001,January,2020,2020,?C,1.05,Fc,Calculated data
ET,Temperature change,16,Bangladesh,7271,Temperature change,7001,January,2019,2019,?C,1.154,Fc,Calculated data
ET,Temperature change,16,Bangladesh,7271,Temperature change,7001,January,2020,2020,?C,0.455,Fc,Calculated data
ET,Temperature change,14,Barbados,7271,Temperature change,7001,January,2019,2019,?C,0.894,Fc,Calculated data
ET,Temperature change,14,Barbados,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,57,Belarus,7271,Temperature change,7001,January,2019,2019,?C,1.912,Fc,Calculated data
ET,Temperature change,57,Belarus,7271,Temperature change,7001,January,2020,2020,?C,8.136,Fc,Calculated data
ET,Temperature change,255,Belgium,7271,Temperature change,7001,January,2019,2019,?C,0.901,Fc,Calculated data
ET,Temperature change,255,Belgium,7271,Temperature change,7001,January,2020,2020,?C,3.592,Fc,Calculated data
ET,Temperature change,23,Belize,7271,Temperature change,7001,January,2019,2019,?C,1.489,Fc,Calculated data
ET,Temperature change,23,Belize,7271,Temperature change,7001,January,2020,2020,?C,2.644,Fc,Calculated data
ET,Temperature change,53,Benin,7271,Temperature change,7001,January,2019,2019,?C,1.245,Fc,Calculated data
ET,Temperature change,53,Benin,7271,Temperature change,7001,January,2020,2020,?C,0.548,Fc,Calculated data
ET,Temperature change,18,Bhutan,7271,Temperature change,7001,January,2019,2019,?C,0.852,Fc,Calculated data
ET,Temperature change,18,Bhutan,7271,Temperature change,7001,January,2020,2020,?C,0.719,Fc,Calculated data
ET,Temperature change,19,Bolivia (Plurinational State of),7271,Temperature change,7001,January,2019,2019,?C,1.556,Fc,Calculated data
ET,Temperature change,19,Bolivia (Plurinational State of),7271,Temperature change,7001,January,2020,2020,?C,2.136,Fc,Calculated data
ET,Temperature change,80,Bosnia and Herzegovina,7271,Temperature change,7001,January,2019,2019,?C,0.031,Fc,Calculated data
ET,Temperature change,80,Bosnia and Herzegovina,7271,Temperature change,7001,January,2020,2020,?C,2.269,Fc,Calculated data
ET,Temperature change,20,Botswana,7271,Temperature change,7001,January,2019,2019,?C,1.145,Fc,Calculated data
ET,Temperature change,20,Botswana,7271,Temperature change,7001,January,2020,2020,?C,1.298,Fc,Calculated data
ET,Temperature change,21,Brazil,7271,Temperature change,7001,January,2019,2019,?C,1.547,Fc,Calculated data
ET,Temperature change,21,Brazil,7271,Temperature change,7001,January,2020,2020,?C,1.28,Fc,Calculated data
ET,Temperature change,239,British Virgin Islands,7271,Temperature change,7001,January,2019,2019,?C,0.655,Fc,Calculated data
ET,Temperature change,239,British Virgin Islands,7271,Temperature change,7001,January,2020,2020,?C,1.141,Fc,Calculated data
ET,Temperature change,26,Brunei Darussalam,7271,Temperature change,7001,January,2019,2019,?C,1.852,Fc,Calculated data
ET,Temperature change,26,Brunei Darussalam,7271,Temperature change,7001,January,2020,2020,?C,1.62,Fc,Calculated data
ET,Temperature change,27,Bulgaria,7271,Temperature change,7001,January,2019,2019,?C,1.241,Fc,Calculated data
ET,Temperature change,27,Bulgaria,7271,Temperature change,7001,January,2020,2020,?C,2.595,Fc,Calculated data
ET,Temperature change,233,Burkina Faso,7271,Temperature change,7001,January,2019,2019,?C,0.531,Fc,Calculated data
ET,Temperature change,233,Burkina Faso,7271,Temperature change,7001,January,2020,2020,?C,0.286,Fc,Calculated data
ET,Temperature change,29,Burundi,7271,Temperature change,7001,January,2019,2019,?C,,NV,Data not available
ET,Temperature change,29,Burundi,7271,Temperature change,7001,January,2020,2020,?C,,NV,Data not available
ET,Temperature change,35,Cabo Verde,7271,Temperature change,7001,January,2019,2019,?C,0.699,Fc,Calculated data
ET,Temperature change,35,Cabo Verde,7271,Temperature change,7001,January,2020,2020,?C,0.509,Fc,Calculated data
ET,Temperature change,115,Cambodia,7271,Temperature change,7001,January,2019,2019,?C,1.996,Fc,Calculated data
ET,Temperature change,115,Cambodia,7271,Temperature change,7001,January,2020,2020,?C,2.514,Fc,Calculated data
ET,Temperature change,32,Cameroon,7271,Temperature change,7001,January,2019,2019,?C,1.581,Fc,Calculated data
